country_code,unit_type,amount
CAR,Fanteria leggera,53
SIR,Fanteria leggera,14
MAG,Fanteria leggera,22
BRU,Fanteria leggera,8
LUC,Fanteria leggera,9
MES,Fanteria leggera,8
PEU,Fanteria leggera,11
DAU,Fanteria leggera,7
SAN,Fanteria leggera,12
ROM,Fanteria leggera,36
ROM,Trireme,8
SAB,Fanteria leggera,11
PIC,Fanteria leggera,11
UMB,Fanteria leggera,11
ETR,Fanteria leggera,58
SEN,Fanteria leggera,7
BOI,Fanteria leggera,10
LIN,Fanteria leggera,11
GEN,Fanteria leggera,11
TAU,Fanteria leggera,13
SAL,Fanteria leggera,5
INS,Fanteria leggera,13
CEN,Fanteria leggera,8
RET,Fanteria leggera,6
VEN,Fanteria leggera,17
IST,Fanteria leggera,4
IST,Liburna,2
CRN,Fanteria leggera,6
IAP,Fanteria leggera,6
SEG,Fanteria leggera,6
TRS,Fanteria leggera,9
NOR,Fanteria leggera,5
ERA,Fanteria leggera,8
TEC,Fanteria leggera,4
TRC,Fanteria leggera,4
BRE,Fanteria leggera,6
SCO,Fanteria leggera,13
DAL,Fanteria leggera,11
DAL,Liburna,2
DAL,Trireme,2
TAL,Fanteria leggera,5
TAL,Liburna,2
APO,Fanteria leggera,3
APO,Liburna,2
APO,Trireme,2
DAR,Fanteria leggera,5
PEO,Fanteria leggera,7
TRI,Fanteria leggera,8
BUR,Fanteria leggera,13
ALC,Fanteria leggera,5
RAT,Fanteria leggera,7
GET,Fanteria leggera,15
CRP,Fanteria leggera,5
CRP,Liburna,2
TRG,Fanteria leggera,3
EPI,Fanteria leggera,18
EPI,Liburna,3
EPI,Trireme,3
MAC,Fanteria leggera,80
MAC,Liburna,24
MAC,Trireme,16
SPA,Fanteria leggera,10
SPA,Liburna,4
SPA,Trireme,2
CRE,Fanteria leggera,11
CRE,Liburna,10
CRE,Trireme,6
TRA,Fanteria leggera,53
TRA,Liburna,18
TRA,Trireme,12
BIT,Fanteria leggera,20
BIT,Liburna,8
BIT,Trireme,2
ELL,Fanteria leggera,64
ELL,Liburna,22
ELL,Trireme,18
LID,Fanteria leggera,25
LID,Liburna,12
LID,Trireme,10
CRI,Fanteria leggera,42
CRI,Liburna,18
CRI,Trireme,2